i x result
1 -4.000000 -7.02459481922712570e-05
2 -4.000000 -7.02459481922712570e-05
3 -4.000000 -7.02459481922712570e-05
4 -4.000000 -7.02459481922712570e-05
5 -4.000000 -7.02459481922712570e-05
6 -4.000000 -7.02459481922712570e-05
7 -4.000000 -7.02459481922712570e-05
8 -4.000000 -7.02459481922712570e-05
9 -4.000000 -7.02459481922712570e-05
10 -4.000000 -7.02459481922712570e-05
11 -4.000000 -7.02459481922712570e-05
12 -4.000000 -7.02459481922712570e-05
13 -4.000000 -7.02459481922712570e-05
14 -4.000000 -7.02459481922712570e-05
15 -4.000000 -7.02459481922712570e-05
16 -4.000000 -7.02459481922712570e-05
17 -4.000000 -7.02459481922712570e-05
18 -4.000000 -7.02459481922712570e-05
19 -4.000000 -7.02459481922712570e-05
20 -4.000000 -7.02459481922712570e-05
1 -3.900000 -1.12197691870208325e-04
2 -3.900000 -1.12197691870208338e-04
3 -3.900000 -1.12197691870208338e-04
4 -3.900000 -1.12197691870208338e-04
5 -3.900000 -1.12197691870208338e-04
6 -3.900000 -1.12197691870208338e-04
7 -3.900000 -1.12197691870208325e-04
8 -3.900000 -1.12197691870208338e-04
9 -3.900000 -1.12197691870208338e-04
10 -3.900000 -1.12197691870208325e-04
11 -3.900000 -1.12197691870208338e-04
12 -3.900000 -1.12197691870208338e-04
13 -3.900000 -1.12197691870208325e-04
14 -3.900000 -1.12197691870208325e-04
15 -3.900000 -1.12197691870208338e-04
16 -3.900000 -1.12197691870208325e-04
17 -3.900000 -1.12197691870208338e-04
18 -3.900000 -1.12197691870208325e-04
19 -3.900000 -1.12197691870208338e-04
20 -3.900000 -1.12197691870208325e-04
1 -3.800000 -1.76119217141457185e-04
2 -3.800000 -1.76119217141457158e-04
3 -3.800000 -1.76119217141457158e-04
4 -3.800000 -1.76119217141457158e-04
5 -3.800000 -1.76119217141457158e-04
6 -3.800000 -1.76119217141457185e-04
7 -3.800000 -1.76119217141457158e-04
8 -3.800000 -1.76119217141457185e-04
9 -3.800000 -1.76119217141457158e-04
10 -3.800000 -1.76119217141457158e-04
11 -3.800000 -1.76119217141457185e-04
12 -3.800000 -1.76119217141457158e-04
13 -3.800000 -1.76119217141457185e-04
14 -3.800000 -1.76119217141457158e-04
15 -3.800000 -1.76119217141457185e-04
16 -3.800000 -1.76119217141457158e-04
17 -3.800000 -1.76119217141457158e-04
18 -3.800000 -1.76119217141457158e-04
19 -3.800000 -1.76119217141457185e-04
20 -3.800000 -1.76119217141457185e-04
1 -3.700000 -2.71806021392123620e-04
2 -3.700000 -2.71806021392123620e-04
3 -3.700000 -2.71806021392123620e-04
4 -3.700000 -2.71806021392123674e-04
5 -3.700000 -2.71806021392123620e-04
6 -3.700000 -2.71806021392123620e-04
7 -3.700000 -2.71806021392123620e-04
8 -3.700000 -2.71806021392123620e-04
9 -3.700000 -2.71806021392123620e-04
10 -3.700000 -2.71806021392123674e-04
11 -3.700000 -2.71806021392123674e-04
12 -3.700000 -2.71806021392123620e-04
13 -3.700000 -2.71806021392123674e-04
14 -3.700000 -2.71806021392123620e-04
15 -3.700000 -2.71806021392123620e-04
16 -3.700000 -2.71806021392123620e-04
17 -3.700000 -2.71806021392123674e-04
18 -3.700000 -2.71806021392123620e-04
19 -3.700000 -2.71806021392123620e-04
20 -3.700000 -2.71806021392123674e-04
1 -3.600000 -4.12580214163615888e-04
2 -3.600000 -4.12580214163615888e-04
3 -3.600000 -4.12580214163615888e-04
4 -3.600000 -4.12580214163615888e-04
5 -3.600000 -4.12580214163615943e-04
6 -3.600000 -4.12580214163615943e-04
7 -3.600000 -4.12580214163615888e-04
8 -3.600000 -4.12580214163615888e-04
9 -3.600000 -4.12580214163615888e-04
10 -3.600000 -4.12580214163615888e-04
11 -3.600000 -4.12580214163615888e-04
12 -3.600000 -4.12580214163615888e-04
13 -3.600000 -4.12580214163615888e-04
14 -3.600000 -4.12580214163615943e-04
15 -3.600000 -4.12580214163615888e-04
16 -3.600000 -4.12580214163615888e-04
17 -3.600000 -4.12580214163615888e-04
18 -3.600000 -4.12580214163615888e-04
19 -3.600000 -4.12580214163615943e-04
20 -3.600000 -4.12580214163615943e-04
1 -3.500000 -6.16197655373740272e-04
2 -3.500000 -6.16197655373740272e-04
